inspection_id,inspection_date,site_id,inspector_id
SI-2026-0139,2026-03-26,26,5
SI-2026-0140,2026-03-26,16,5
SI-2026-0141,2026-03-27,27,1
SI-2026-0142,2026-03-27,17,5
SI-2026-0143,2026-03-30,10,8
SI-2026-0144,2026-03-30,11,1
SI-2026-0145,2026-03-31,27,4
SI-2026-0146,2026-03-31,5,8
SI-2026-0147,2026-03-31,2,1
SI-2026-0148,2026-04-01,24,8
SI-2026-0149,2026-04-01,17,1
SI-2026-0150,2026-04-01,15,5
SI-2026-0151,2026-04-02,28,2
SI-2026-0152,2026-04-02,37,8
SI-2026-0153,2026-04-02,11,8
SI-2026-0154,2026-04-02,41,5
SI-2026-0155,2026-04-02,21,4
SI-2026-0156,2026-04-02,3,3
SI-2026-0157,2026-04-03,29,8
SI-2026-0158,2026-04-03,17,1
SI-2026-0159,2026-04-06,10,4
SI-2026-0160,2026-04-06,24,3
SI-2026-0161,2026-04-07,12,3
SI-2026-0162,2026-04-07,34,6
SI-2026-0163,2026-04-07,40,1
SI-2026-0164,2026-04-08,3,3
SI-2026-0165,2026-04-09,28,2
SI-2026-0166,2026-04-09,10,8
SI-2026-0167,2026-04-09,4,6
SI-2026-0168,2026-04-10,8,1
SI-2026-0169,2026-04-10,16,6
SI-2026-0170,2026-04-10,23,2
SI-2026-0171,2026-04-10,2,5
SI-2026-0172,2026-04-13,25,8
SI-2026-0173,2026-04-14,6,1
SI-2026-0174,2026-04-14,39,5
SI-2026-0175,2026-04-14,5,6
SI-2026-0176,2026-04-15,18,8
SI-2026-0177,2026-04-15,5,5
SI-2026-0178,2026-04-16,20,5
SI-2026-0179,2026-04-16,32,4
SI-2026-0180,2026-04-16,1,6
SI-2026-0181,2026-04-16,12,5
SI-2026-0182,2026-04-17,32,6
SI-2026-0183,2026-04-20,14,1
SI-2026-0184,2026-04-20,26,2
SI-2026-0185,2026-04-20,8,1
SI-2026-0186,2026-04-21,22,3
SI-2026-0187,2026-04-21,37,1
SI-2026-0188,2026-04-22,20,4
SI-2026-0189,2026-04-22,19,8
SI-2026-0190,2026-04-22,30,3
SI-2026-0191,2026-04-23,31,4
SI-2026-0192,2026-04-23,34,3
SI-2026-0193,2026-04-24,31,1
SI-2026-0194,2026-04-24,26,5
SI-2026-0195,2026-04-24,11,5
SI-2026-0196,2026-04-24,25,4
SI-2026-0197,2026-04-24,16,5
SI-2026-0198,2026-04-24,27,8
SI-2026-0199,2026-04-24,23,8
SI-2026-0200,2026-04-27,4,4
SI-2026-0201,2026-04-27,2,3
SI-2026-0202,2026-04-28,29,2
SI-2026-0203,2026-04-28,42,3
SI-2026-0204,2026-04-29,36,6
SI-2026-0205,2026-04-30,1,1
SI-2026-0206,2026-05-01,29,2
SI-2026-0207,2026-05-01,21,5
SI-2026-0208,2026-05-04,39,3
SI-2026-0209,2026-05-04,25,5
SI-2026-0210,2026-05-05,9,1
SI-2026-0211,2026-05-05,5,4
SI-2026-0212,2026-05-05,15,5
SI-2026-0213,2026-05-06,29,4
SI-2026-0214,2026-05-06,6,4
SI-2026-0215,2026-05-06,30,3
SI-2026-0216,2026-05-07,22,4
SI-2026-0217,2026-05-08,9,2
SI-2026-0218,2026-05-08,21,1
SI-2026-0219,2026-05-08,35,6
SI-2026-0220,2026-05-11,10,1
SI-2026-0221,2026-05-11,8,6
SI-2026-0222,2026-05-11,4,1
SI-2026-0223,2026-05-12,37,3
SI-2026-0224,2026-05-12,32,2
SI-2026-0225,2026-05-12,40,3
SI-2026-0226,2026-05-13,16,2
SI-2026-0227,2026-05-13,4,4
SI-2026-0228,2026-05-13,36,2
SI-2026-0229,2026-05-14,10,5
SI-2026-0230,2026-05-15,19,8
SI-2026-0231,2026-05-15,39,4
SI-2026-0232,2026-05-18,38,3
SI-2026-0233,2026-05-18,34,5
SI-2026-0234,2026-05-18,15,1
SI-2026-0235,2026-05-18,35,5
SI-2026-0236,2026-05-19,6,1
SI-2026-0237,2026-05-19,12,1
SI-2026-0238,2026-05-19,25,6
SI-2026-0239,2026-05-19,17,1
SI-2026-0240,2026-05-20,24,6
SI-2026-0241,2026-05-20,17,2
SI-2026-0242,2026-05-20,23,5
SI-2026-0243,2026-05-21,14,5
SI-2026-0244,2026-05-21,16,1
SI-2026-0245,2026-05-22,11,6
SI-2026-0246,2026-05-22,30,2
SI-2026-0247,2026-05-25,22,8
SI-2026-0248,2026-05-25,20,1
SI-2026-0249,2026-05-25,37,6
SI-2026-0250,2026-05-25,31,2
SI-2026-0251,2026-05-25,31,3
SI-2026-0252,2026-05-25,1,4
SI-2026-0253,2026-05-25,1,4
SI-2026-0254,2026-05-27,13,1
SI-2026-0255,2026-05-28,38,3
SI-2026-0256,2026-05-28,7,1
SI-2026-0257,2026-05-28,23,4
SI-2026-0258,2026-05-29,36,2
SI-2026-0259,2026-06-01,26,5
SI-2026-0260,2026-06-01,1,2
SI-2026-0261,2026-06-01,24,4
SI-2026-0262,2026-06-01,34,5
SI-2026-0263,2026-06-02,28,5
SI-2026-0264,2026-06-03,31,1
SI-2026-0265,2026-06-04,11,6
SI-2026-0266,2026-06-04,4,1
SI-2026-0267,2026-06-04,3,2
SI-2026-0268,2026-06-05,38,3
SI-2026-0269,2026-06-05,8,1
SI-2026-0270,2026-06-05,16,1
SI-2026-0271,2026-06-05,17,5
SI-2026-0272,2026-06-08,31,2
SI-2026-0273,2026-06-08,41,8
SI-2026-0274,2026-06-08,35,4
SI-2026-0275,2026-06-09,14,5
SI-2026-0276,2026-06-10,24,2
SI-2026-0277,2026-06-10,36,6
SI-2026-0278,2026-06-10,35,2
SI-2026-0279,2026-06-11,29,6
SI-2026-0280,2026-06-11,19,5
SI-2026-0281,2026-06-15,28,6
SI-2026-0282,2026-06-15,5,8
SI-2026-0283,2026-06-16,7,1
SI-2026-0284,2026-06-17,17,8
SI-2026-0285,2026-06-17,23,4
SI-2026-0286,2026-06-18,14,5
SI-2026-0287,2026-06-18,9,2
SI-2026-0288,2026-06-18,4,6
SI-2026-0289,2026-06-19,1,6
SI-2026-0290,2026-06-19,2,8
SI-2026-0291,2026-06-22,40,8
SI-2026-0292,2026-06-23,20,4
SI-2026-0293,2026-06-23,40,6
SI-2026-0294,2026-06-24,38,1
SI-2026-0295,2026-06-24,7,4
SI-2026-0296,2026-06-24,34,3
SI-2026-0297,2026-06-24,23,8
SI-2026-0298,2026-06-25,13,6
SI-2026-0299,2026-06-25,41,2
SI-2026-0300,2026-06-25,16,4
SI-2026-0301,2026-06-25,21,4
SI-2026-0302,2026-06-25,36,3
SI-2026-0303,2026-06-26,19,8
SI-2026-0304,2026-06-26,9,2
SI-2026-0220,2026-05-11,10,1
SI-2026-0221,2026-05-11,8,6
SI-2026-0222,2026-05-11,4,1
SI-2026-0223,2026-05-12,37,3
SI-2026-0224,2026-05-12,32,2
